CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME
3662,SUNBEAM CORP/FL/,199803,06-03-1998,10-K405,edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199805,15-05-1998,10-Q,edgar/data/3662/0000950170-98-001001.txt
3662,SUNBEAM CORP/FL/,199808,13-08-1998,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt
3662,SUNBEAM CORP/FL/,199811,12-11-1998,10-K/A,edgar/data/3662/0000950170-98-002145.txt
3662,SUNBEAM CORP/FL/,199811,16-11-1998,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt
3662,SUNBEAM CORP/FL/,199811,25-11-1998,10-Q/A,edgar/data/3662/0000950170-98-002278.txt
3662,SUNBEAM CORP/FL/,199812,22-12-1998,10-Q,edgar/data/3662/0000950170-98-002401.txt
3662,SUNBEAM CORP/FL/,199812,22-12-1998,10-Q,edgar/data/3662/0000950170-98-002402.txt
3662,SUNBEAM CORP/FL/,199903,31-03-1999,NT 10-K,edgar/data/3662/0000950172-99-000362.txt
3662,SUNBEAM CORP/FL/,199905,11-05-1999,10-K,edgar/data/3662/0000950170-99-000775.txt
3662,SUNBEAM CORP/FL/,199905,17-05-1999,NT 10-Q,edgar/data/3662/0000950172-99-000584.txt
3662,SUNBEAM CORP/FL/,199906,11-06-1999,10-Q,edgar/data/3662/0000950170-99-001005.txt
3662,SUNBEAM CORP/FL/,199908,16-08-1999,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt
3662,SUNBEAM CORP/FL/,199908,19-08-1999,10-Q,edgar/data/3662/0000950170-99-001361.txt
3662,SUNBEAM CORP/FL/,199911,08-11-1999,10-K/A,edgar/data/3662/0000889812-99-003241.txt
3662,SUNBEAM CORP/FL/,199911,08-11-1999,10-Q/A,edgar/data/3662/0000950170-99-001639.txt
3662,SUNBEAM CORP/FL/,199911,08-11-1999,10-Q/A,edgar/data/3662/0000950170-99-001640.txt
